"Aca_ca"	"All_ma"	"Amp_sp"	"Ant_lo"	"Bat_de"	"Bla_br"	"Cap_ow"	"Cat_an"	"Chr_pe"	"Cop_ci"	"Cor_li"	"Dic_pu"	"Enc_cu"	"Enc_in"	"Ent_bi"	"Ent_hi"	"Fon_al"	"Gan_pr"	"Ich_ho"	"Lei_ma"	"Mit_da"	"Mon_br"	"Mor_ve"	"Nae_gr"	"Nem_pa"	"Nos_ce"	"Par_at"	"Par_sa"	"Par_tr"	"Phy_in"	"Pla_fa"	"Pol_pa"	"Roz_al"	"Sal_ro"	"Sch_po"	"Sph_ar"	"Spi_pu"	"The_tr"	"Tox_go"	"Try_br"	"Ust_ma"
"KOG0456"	0	4	0	0	1	1	2	1	1	2	1	0	0	0	0	0	0	1	1	0	0	1	2	1	0	0	0	2	1	1	0	0	0	1	1	1	2	0	1	0	1
"KOG0470"	1	2	0	0	1	1	1	1	1	1	1	1	0	0	0	4	1	3	1	0	0	2	2	0	0	0	1	1	3	0	0	1	4	2	0	3	2	2	3	0	1
"KOG0471"	2	0	0	0	0	0	0	0	5	3	0	2	0	0	0	9	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	2	0	2	6	0	1	1	1	0	1
"KOG0474"	5	9	0	0	0	2	3	2	2	0	1	4	0	0	0	0	0	0	1	3	0	4	0	0	0	0	0	0	8	3	0	5	0	1	1	4	1	2	0	3	0
"KOG0475"	26	24	0	0	4	8	2	21	1	8	2	0	0	0	0	1	9	26	3	3	0	4	11	1	0	0	2	0	0	1	0	0	2	4	1	1	5	5	5	0	2
"KOG0476"	1	0	0	0	0	0	2	0	2	0	2	2	0	0	0	5	0	0	1	0	0	2	0	7	0	0	0	0	0	9	0	2	0	1	0	8	0	2	1	0	0
"KOG0496"	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	2	0	5	0	2	0	0	0	0	0	0	1
"KOG0497"	1	2	0	0	2	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	0	1	1	1	0	0	2	0	3	0	0	1	0	1	1	3	1	1	0	1	1
"KOG0498"	1	6	0	0	3	1	0	4	13	0	1	0	0	0	0	2	0	3	1	0	0	2	1	3	0	0	3	0	1	32	0	1	1	2	0	3	7	5	0	0	0
"KOG0499"	4	5	0	0	0	2	0	3	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0
"KOG0500"	0	27	0	0	1	9	0	10	8	0	2	0	0	0	0	1	0	4	0	0	0	2	0	4	0	0	0	0	0	37	0	0	1	1	0	0	4	4	0	0	0
"KOG0503"	1	2	0	0	1	1	1	1	1	1	1	1	0	0	0	6	2	1	1	2	2	1	1	1	0	0	1	1	5	1	0	1	2	1	4	2	1	1	1	0	1
"KOG0504"	54	11	1	0	9	9	32	31	24	71	16	9	0	1	1	9	5	26	13	5	2	25	12	11	0	1	32	9	22	48	1	87	42	39	3	39	9	63	5	5	5
"KOG0506"	2	0	0	0	1	1	2	1	1	0	2	1	0	0	0	0	0	1	2	0	0	1	0	1	0	0	0	0	1	0	0	1	0	4	0	3	1	1	0	0	0
"KOG0513"	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	2	1	0	0
"KOG0522"	1	0	0	0	0	0	4	0	2	0	1	1	0	0	0	1	1	1	0	0	0	2	1	0	0	0	5	1	4	5	0	1	0	2	0	1	1	0	0	0	0
"KOG0523"	1	5	1	1	1	1	1	1	1	2	1	1	1	1	0	7	1	2	1	1	2	1	2	2	1	1	1	1	2	1	2	1	2	1	1	1	1	1	2	1	1
"KOG0524"	1	2	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	2	1	2	1	1	1	1	1	0	1	1	1	2	1	1	2	1	1	1	1	1
"KOG0525"	1	2	0	0	1	1	1	1	1	1	1	1	0	0	0	0	1	1	0	1	2	1	1	1	0	0	1	1	2	1	1	0	2	1	0	1	1	1	1	1	0
